rel,path,N_per_p,n_items,method,convergence,coverage,coverage_corrected,mean_se,mean_se_corrected,out_se,out_se_corrected,power,power_corrected,raw_rsb,raw_rsb_corrected,rbias,rbias_corrected,rmse,rmse_corrected,sbias,sbias_corrected,stdMed_rsb,stdMed_rsb_corrected,type1,type1_corrected,warning_total,N,N_lab,path_lab,rel_lab
0.7,0.3,6,5,gsam,1,0.8975,NA,0.21096412869239853,NA,2.5,NA,0.25849999999999995,NA,-0.12895606801798265,NA,-0.07029180946434188,NA,0.2521327841498562,NA,-0.2902258999264517,NA,-0.07654927078385576,NA,0.2585,NA,1,30,italic(N) == 30,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,5,joint,1,0.8235,NA,0.20111494190561313,NA,2.1,NA,0.378,NA,-0.2987402180379365,NA,-0.02341059077949819,NA,0.28767336722280895,NA,-0.08162946835317064,NA,-0.23725695459497687,NA,0.378,NA,386,30,italic(N) == 30,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,5,lsam,1,0.8975,NA,0.21096472391864757,NA,2.5,NA,0.25849999999999995,NA,-0.12880663620966026,NA,-0.07030400352010692,NA,0.25209695488184203,NA,-0.29032522678165135,NA,-0.07654835781439573,NA,0.2585,NA,0,30,italic(N) == 30,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,5,rel,1,0.8435,0.853,0.2231547548801062,0.22898003491950628,8.15,8.55,0.344,0.3315,-0.2759256485338102,-0.25702425488479874,-0.0463654707422565,-0.0463654707422565,0.31158511323929083,0.31158511323929083,-0.1504428985891927,-0.1504428985891927,-0.22107545930711625,-0.21146063633995993,0.344,0.3315,170,30,italic(N) == 30,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,5,tspa,1,0.83,0.859,0.22178537611547047,0.25221948608343303,8.3,11.05,0.357,0.32399999999999995,-0.28527504630615397,-0.18719816577170223,-0.04517119599451167,-0.04517119599451167,0.3135024477280788,0.3135024477280788,-0.1455685741365749,-0.1455685741365749,-0.23381625667325823,-0.21644755990280184,0.357,0.324,170,30,italic(N) == 30,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,10,gsam,1,0.872,NA,0.15441501642934516,NA,2.15,NA,0.44999999999999996,NA,-0.26384487664836653,NA,-0.05918602280822606,NA,0.2178984643044926,NA,-0.2821622853047998,NA,-0.09900975299825698,NA,0.45,NA,0,60,italic(N) == 60,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,10,joint,1,0.85,NA,0.1522349581910165,NA,1.6,NA,0.5125,NA,-0.3126281328560371,NA,-0.034652511590796964,NA,0.22411376337661754,NA,-0.15646315324964244,NA,-0.1648435851500918,NA,0.5125,NA,18,60,italic(N) == 60,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,10,lsam,1,0.872,NA,0.15441501351840764,NA,2.15,NA,0.44999999999999996,NA,-0.2638449002557529,NA,-0.05918601132909061,NA,0.21789846385401274,NA,-0.28216222685002657,NA,-0.09900909361828747,NA,0.45,NA,0,60,italic(N) == 60,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,10,rel,1,0.83,0.833,0.15502468628739488,0.1559752630546352,1.7500000000000002,1.9,0.503,0.501,-0.35258035411177313,-0.34861052137884063,-0.05068796042268238,-0.05068796042268238,0.2446976546368571,0.2446976546368571,-0.21168487531600177,-0.21168487531600177,-0.21218115279162053,-0.2091812487173852,0.503,0.501,0,60,italic(N) == 60,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,10,tspa,1,0.822,0.829,0.15221962222433047,0.1539744560179848,1.7000000000000002,1.6500000000000001,0.513,0.506,-0.36429211056209654,-0.3569634779523384,-0.05068296158239421,-0.05068296158239421,0.24469556830874523,0.24469556830874523,-0.21166494875754763,-0.21166494875754763,-0.22405706302684825,-0.2158276142306933,0.513,0.506,0,60,italic(N) == 60,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,20,gsam,1,0.8465,NA,0.10396628321061302,NA,1.2,NA,0.7655000000000001,NA,-0.4836700908456376,NA,-0.06522244327209553,NA,0.21160826286233134,NA,-0.32391557310253943,NA,-0.15429644096222317,NA,0.7655,NA,0,120,italic(N) == 120,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,20,joint,1,0.836,NA,0.1032951965686775,NA,1.2,NA,0.787,NA,-0.4953752911225222,NA,-0.055092534856274515,NA,0.2119318880145077,NA,-0.26914179251971165,NA,-0.17765421102194123,NA,0.787,NA,32,120,italic(N) == 120,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,20,lsam,1,0.8465,NA,0.1039662819636045,NA,1.2,NA,0.7655000000000001,NA,-0.48367010209046013,NA,-0.06522242829553627,NA,0.21160826011990783,NA,-0.3239154955549493,NA,-0.1542962582750077,NA,0.7655,NA,0,120,italic(N) == 120,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,20,rel,1,0.825,0.826,0.10476238475799919,0.10504099024498453,1.2,1.2,0.783,0.781,-0.5183308979440737,-0.517049945290561,-0.06638031284306022,-0.06638031284306022,0.22735074367680322,0.22735074367680322,-0.30519871951336935,-0.30519871951336935,-0.19091817763375374,-0.1894702394791019,0.783,0.781,0,120,italic(N) == 120,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,20,tspa,1,0.8185,0.821,0.10326542592728276,0.10370894939979582,1.2,1.15,0.787,0.7865,-0.5252134194588989,-0.5231742181384833,-0.06638035927913637,-0.06638035927913637,0.22735071772819254,0.22735071772819254,-0.3051989909906937,-0.3051989909906937,-0.20128516098017102,-0.19854700026190597,0.787,0.7865,0,120,italic(N) == 120,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,25,5,gsam,1,0.947,NA,0.1129879578868623,NA,1.15,NA,0.7065,NA,-0.01169750748057441,NA,-0.009356712468487766,NA,0.11467904028630509,NA,-0.08184290102537772,NA,-0.02180634997096509,NA,0.7065,NA,0,125,italic(N) == 125,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,25,5,joint,1,0.938,NA,0.11239214901651014,NA,1.4000000000000001,NA,0.7335,NA,-0.04590916962104319,NA,0.002702550599552849,NA,0.11780181180750982,NA,0.022941804816720136,NA,-0.07532041683193347,NA,0.7335,NA,3,125,italic(N) == 125,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,25,5,lsam,1,0.947,NA,0.11298795857947735,NA,1.15,NA,0.7065,NA,-0.011697480781363123,NA,-0.009356698053217634,NA,0.1146790367310037,NA,-0.08184277664472069,NA,-0.02180635367909156,NA,0.7065,NA,0,125,italic(N) == 125,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,25,5,rel,1,0.939,0.944,0.11401230785944055,0.11497064066562451,1.4500000000000002,1.25,0.731,0.7275,-0.03378010058055647,-0.025658519279500913,0.0025515455238447624,0.0025515455238447624,0.11799638956328322,0.11799638956328322,0.021623578240805737,0.021623578240805737,-0.06424226610499939,-0.05638323308725568,0.731,0.7275,0,125,italic(N) == 125,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,25,5,tspa,1,0.9365,0.94,0.11206758269655663,0.11392323143627833,1.6,1.2,0.7335,0.7304999999999999,-0.05031611093729493,-0.03459095947538726,0.002554430866124229,0.002554430866124229,0.11800328883571676,0.11800328883571676,0.02164677581965195,0.02164677581965195,-0.07911486422406222,-0.06544799885201025,0.7335,0.7305,0,125,italic(N) == 125,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,25,10,gsam,1,0.945,NA,0.07852487455624595,NA,0.8,NA,0.951,NA,-0.027308770409673278,NA,-0.005738543898484866,NA,0.08091306500173473,NA,-0.07108360697446467,NA,0.021408713087521125,NA,0.951,NA,0,250,italic(N) == 250,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,25,10,joint,1,0.939,NA,0.07828828693973426,NA,0.8500000000000001,NA,0.956,NA,-0.04490337854500326,NA,-9.33403244870072e-4,NA,0.08195379146993348,NA,-0.01138727542112137,NA,0.005719781458913387,NA,0.956,NA,0,250,italic(N) == 250,\beta_{xm} == 0.3,rho == 0.7
