rel,path,N_per_p,n_items,method,coverage,coverage_corrected,mean_se,mean_se_corrected,power,power_corrected,raw_rsb,raw_rsb_corrected,rb,rb_corrected,rmse,rmse_corrected,sb,sb_corrected,type1,type1_corrected,N,N_lab,path_lab,rel_lab
0.7,0.6,6,5,gsam,0.877,NA,0.24126996854795668,NA,0.525,NA,-0.1141372836745933,NA,-0.08912971454971089,NA,0.2864396684981328,NA,-0.3272545336309477,NA,0.525,NA,30,italic(N) == 30,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,5,joint,0.792,NA,0.15599192079675606,NA,0.777,NA,-0.4036989686853981,NA,-0.08467131261430004,NA,0.27483627961474033,NA,-0.32366798727000573,NA,0.777,NA,30,italic(N) == 30,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,5,lsam,0.877,NA,0.24128049493392492,NA,0.525,NA,-0.11413950634320857,NA,-0.08913018674580604,NA,0.28645175167467946,NA,-0.32724116904677386,NA,0.525,NA,30,italic(N) == 30,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,5,rel,0.818,0.851,0.18982073668276403,0.20391645003008474,0.765,0.753,-0.48503909839789305,-0.4467991179778812,-0.08649350690796317,-0.08649350690796317,0.37844420181012084,0.37844420181012084,-0.23464651480354914,-0.23464651480354914,0.765,0.753,30,italic(N) == 30,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,5,tspa,0.797,0.864,0.18499045407537912,0.23835216252785477,0.775,0.738,-0.5029921623493051,-0.3596269954066639,-0.08511851474250416,-0.08511851474250416,0.3816355050096065,0.3816355050096065,-0.22868514576959048,-0.22868514576959048,0.775,0.738,30,italic(N) == 30,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,10,gsam,0.818,NA,0.20600642893454427,NA,0.5609999999999999,NA,-0.15005050749411708,NA,-0.17754739394996968,NA,0.30034967437044763,NA,-0.7325320775861185,NA,0.561,NA,60,italic(N) == 60,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,10,joint,0.694,NA,0.11761858897271175,NA,0.832,NA,-0.48024775969151645,NA,-0.1687333178189552,NA,0.28218831041820264,NA,-0.7456263564888723,NA,0.832,NA,60,italic(N) == 60,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,10,lsam,0.818,NA,0.20600642734013516,NA,0.5609999999999999,NA,-0.15005052053868306,NA,-0.17754739416645243,NA,0.3003496759849551,NA,-0.7325320729062962,NA,0.561,NA,60,italic(N) == 60,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,10,rel,0.843,0.855,0.13187143544283514,0.13584081830315667,0.959,0.959,-0.6053978036883639,-0.5935201200230213,-0.08834626580387787,-0.08834626580387787,0.3455071602877495,0.3455071602877495,-0.264360741999005,-0.264360741999005,0.959,0.959,60,italic(N) == 60,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,10,tspa,0.83,0.85,0.1235111269008624,0.13135907884502177,0.962,0.96,-0.6304113627309431,-0.6069275363164772,-0.08834354016449013,-0.08834354016449013,0.3455036662003174,0.3455036662003174,-0.2643548758738603,-0.2643548758738603,0.962,0.96,60,italic(N) == 60,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,20,gsam,0.459,NA,0.14485194104357535,NA,0.507,NA,-0.13509467267700792,NA,-0.32698536356642943,NA,0.3673418014247539,NA,-1.9524169359951689,NA,0.507,NA,120,italic(N) == 120,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,20,joint,0.146,NA,0.09188170255449224,NA,0.754,NA,-0.4344932313644255,NA,-0.3215164523652835,NA,0.3602015062853557,NA,-1.9788458962483124,NA,0.754,NA,120,italic(N) == 120,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,20,lsam,0.459,NA,0.1448519416159572,NA,0.507,NA,-0.13509471292088038,NA,-0.32698536063126815,NA,0.36734180266272926,NA,-1.9524168199088974,NA,0.507,NA,120,italic(N) == 120,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,20,rel,0.849,0.851,0.0874287876282716,0.08894921922127053,1,1,-0.7545253790460009,-0.7502564491076746,-0.1154485084425551,-0.1154485084425551,0.3742366074925413,0.3742366074925413,-0.3241458519376364,-0.3241458519376364,1,1,120,italic(N) == 120,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,20,tspa,0.831,0.841,0.08212298790504528,0.0847043166501549,1,1,-0.7694224229919573,-0.7621747991208339,-0.11544871093330271,-0.11544871093330271,0.3742365240820464,0.3742365240820464,-0.32414656011398557,-0.32414656011398557,1,1,120,italic(N) == 120,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,25,5,gsam,0.841,NA,0.13213644046379758,NA,0.96,NA,-0.16227362638674958,NA,-0.06911417295054444,NA,0.17213756882436707,NA,-0.4381740969252276,NA,0.96,NA,125,italic(N) == 125,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,25,5,joint,0.674,NA,0.07988023425534513,NA,0.977,NA,-0.4663867436521597,NA,-0.06695866324738127,NA,0.1639213418470483,NA,-0.44729501195400845,NA,0.977,NA,125,italic(N) == 125,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,25,5,lsam,0.841,NA,0.13213644009693987,NA,0.96,NA,-0.16227363602119682,NA,-0.06911417447462628,NA,0.1721375706959849,NA,-0.43817410276490554,NA,0.96,NA,125,italic(N) == 125,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,25,5,rel,0.937,0.947,0.09734325377497381,0.10126324790170375,1,1,-0.012167700705299822,0.027612116192755165,1.2080102833790356e-5,1.2080102833790356e-5,0.09849300410135747,0.09849300410135747,1.225880099060255e-4,1.225880099060255e-4,1,1,125,italic(N) == 125,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,25,5,tspa,0.919,0.94,0.09093895690834403,0.09883525824433882,1,1,-0.07715802354543777,0.0029730729541046497,1.2080268083384457e-5,1.2080268083384457e-5,0.0984930021168972,0.0984930021168972,1.2258968931692308e-4,1.2258968931692308e-4,1,1,125,italic(N) == 125,\beta_{xm} == 0.6,rho == 0.7
