rel,path,N_per_p,n_items,method,coverage,coverage_corrected,mean_se,mean_se_corrected,power,power_corrected,raw_rsb,raw_rsb_corrected,rb,rb_corrected,rmse,rmse_corrected,sb,sb_corrected,type1,type1_corrected,N,N_lab,path_lab,rel_lab
0.7,0,6,5,gsam,0.468,NA,0.245286682386951,NA,0.532,NA,-0.08917868006865481,NA,0.506300698600468,NA,0.573403734141692,NA,1.8800428384202121,NA,0.532,NA,30,italic(N) == 30,\beta_{xm} == 0,rho == 0.7
0.7,0,6,5,joint,0.237,NA,0.1637544947236975,NA,0.763,NA,-0.42012079233282995,NA,0.5024902750751498,NA,0.5763359999586866,NA,1.7793933721494914,NA,0.763,NA,30,italic(N) == 30,\beta_{xm} == 0,rho == 0.7
0.7,0,6,5,lsam,0.468,NA,0.24528642879257082,NA,0.532,NA,-0.08917984624879782,NA,0.5063000724643081,NA,0.5734032124248081,NA,1.8800400499783096,NA,0.532,NA,30,italic(N) == 30,\beta_{xm} == 0,rho == 0.7
0.7,0,6,5,rel,0.877,0.887,0.2402969912181851,0.24826755733443415,0.123,0.11299999999999999,-0.166314576584206,-0.13866152627424522,0.013743480321171174,0.013743480321171174,0.2884180877028942,0.2884180877028942,0.047681575839452824,0.047681575839452824,0.123,0.113,30,italic(N) == 30,\beta_{xm} == 0,rho == 0.7
0.7,0,6,5,tspa,0.868,0.891,0.3032319865888967,0.5281953652718548,0.132,0.10899999999999999,-0.03967579569132362,0.672774694979352,0.010772899131979794,0.010772899131979794,0.31578590687660757,0.31578590687660757,0.03411736309020027,0.03411736309020027,0.132,0.109,30,italic(N) == 30,\beta_{xm} == 0,rho == 0.7
0.7,0,6,10,gsam,0.426,NA,0.2075280451406833,NA,0.5740000000000001,NA,-0.07255569861753852,NA,0.44054428306194343,NA,0.4940639966073951,NA,1.9687955165550992,NA,0.574,NA,60,italic(N) == 60,\beta_{xm} == 0,rho == 0.7
0.7,0,6,10,joint,0.166,NA,0.11870644033042517,NA,0.834,NA,-0.4652288197136113,NA,0.44320067291028975,NA,0.4956318876830236,NA,1.9966140530895022,NA,0.834,NA,60,italic(N) == 60,\beta_{xm} == 0,rho == 0.7
0.7,0,6,10,lsam,0.426,NA,0.2075280261218048,NA,0.5740000000000001,NA,-0.07255583154703216,NA,0.4405442737347866,NA,0.4940639935231888,NA,1.96879537311682,NA,0.574,NA,60,italic(N) == 60,\beta_{xm} == 0,rho == 0.7
0.7,0,6,10,rel,0.91,0.91,0.16482812796940924,0.16511358433487114,0.08999999999999997,0.08999999999999997,-0.08496790857581393,-0.08338321706522767,-0.007660268902940546,-0.007660268902940546,0.18020650947241856,0.18020650947241856,-0.042525459467878134,-0.042525459467878134,0.09,0.09,60,italic(N) == 60,\beta_{xm} == 0,rho == 0.7
0.7,0,6,10,tspa,0.906,0.908,0.16401536644358974,0.1646042933117482,0.09399999999999997,0.09199999999999997,-0.08956498443388261,-0.08629590267645126,-0.007665572680652129,-0.007665572680652129,0.18022354596479304,0.18022354596479304,-0.042550926380626866,-0.042550926380626866,0.094,0.092,60,italic(N) == 60,\beta_{xm} == 0,rho == 0.7
0.7,0,6,20,gsam,0.513,NA,0.1434853595471192,NA,0.487,NA,-0.16106177788002551,NA,0.25962354230623363,NA,0.31084901219618283,NA,1.517981442081243,NA,0.487,NA,120,italic(N) == 120,\beta_{xm} == 0,rho == 0.7
