rel,path,N_per_p,n_items,method,convergence,coverage,coverage_corrected,mean_se,mean_se_corrected,out_se,out_se_corrected,power,power_corrected,raw_rsb,raw_rsb_corrected,rbias,rbias_corrected,rmse,rmse_corrected,sbias,sbias_corrected,stdMed_rsb,stdMed_rsb_corrected,type1,type1_corrected,warning_total,N,N_lab,path_lab,rel_lab
0.7,0,6,5,gsam,1,0.923,NA,0.22013416944620437,NA,1.6500000000000001,NA,0.07699999999999996,NA,-0.04333782041807921,NA,-0.0027304960128976,NA,0.2300651528900629,NA,-0.011866228099026278,NA,-0.07413092156303003,NA,0.077,NA,0,30,italic(N) == 30,\beta_{xm} == 0,rho == 0.7
0.7,0,6,5,joint,1,0.844,NA,0.2122335409943863,NA,4.1000000000000005,NA,0.15600000000000003,NA,-0.24446012407448847,NA,-0.006542557863468437,NA,0.2809091290942986,NA,-0.023291150556316503,NA,-0.23455074475589988,NA,0.156,NA,422,30,italic(N) == 30,\beta_{xm} == 0,rho == 0.7
0.7,0,6,5,lsam,1,0.923,NA,0.22013424758419164,NA,1.6500000000000001,NA,0.07699999999999996,NA,-0.043340629015152565,NA,-0.0027303938778983168,NA,0.2300659086686145,NA,-0.011865745191565821,NA,-0.07413092552210276,NA,0.077,NA,0,30,italic(N) == 30,\beta_{xm} == 0,rho == 0.7
0.7,0,6,5,rel,1,0.873,0.8815,0.23789977091200035,0.2413412239031662,11.55,11.35,0.127,0.11850000000000005,-0.1407522601695691,-0.12832240076677992,-0.0042818479782352125,-0.0042818479782352125,0.2768337144930907,0.2768337144930907,-0.015465202776328181,-0.015465202776328181,-0.18010687827395389,-0.1743172831837747,0.127,0.1185,0,30,italic(N) == 30,\beta_{xm} == 0,rho == 0.7
0.7,0,6,5,tspa,1,0.8655,0.887,0.24252530073013773,0.285716746721181,12,12.35,0.13449999999999995,0.11299999999999999,-0.13092223502215905,0.023852236899122303,-0.004134088237019569,-0.004134088237019569,0.27902138282466743,0.27902138282466743,-0.01481430660815043,-0.01481430660815043,-0.18769879086389452,-0.17777006118382288,0.1345,0.113,0,30,italic(N) == 30,\beta_{xm} == 0,rho == 0.7
0.7,0,6,10,gsam,1,0.9315,NA,0.16362317881083127,NA,2.9499999999999997,NA,0.0685,NA,-0.03135646813377868,NA,5.885481246686217e-4,NA,0.16887870090557366,NA,0.003484184443154925,NA,-0.04234031851527997,NA,0.0685,NA,0,60,italic(N) == 60,\beta_{xm} == 0,rho == 0.7
0.7,0,6,10,joint,1,0.9095,NA,0.16254559869889904,NA,3.3000000000000003,NA,0.09050000000000002,NA,-0.12219322300140267,NA,2.246412702112031e-4,NA,0.18512625001037603,NA,0.0012131465321940018,NA,-0.1263625017975264,NA,0.0905,NA,21,60,italic(N) == 60,\beta_{xm} == 0,rho == 0.7
0.7,0,6,10,lsam,1,0.9315,NA,0.16362317777494387,NA,2.9499999999999997,NA,0.0685,NA,-0.031356584893207584,NA,5.885651137950919e-4,NA,0.16887872025187878,NA,0.0034842846202593337,NA,-0.042338270428905034,NA,0.0685,NA,0,60,italic(N) == 60,\beta_{xm} == 0,rho == 0.7
0.7,0,6,10,rel,1,0.914,0.9145,0.16370043083096497,0.16397279463605938,3.05,2.85,0.08599999999999997,0.08550000000000002,-0.11560109450082534,-0.11412963685162825,0.002850521726038959,0.002850521726038959,0.18507363031358307,0.18507363031358307,0.015400071226529788,0.015400071226529788,-0.1199691596333865,-0.11878214703316003,0.086,0.0855,0,60,italic(N) == 60,\beta_{xm} == 0,rho == 0.7
0.7,0,6,10,tspa,1,0.91,0.912,0.16287675824872594,0.1634046177757086,3.55,3.15,0.08999999999999997,0.08799999999999997,-0.12012087772291036,-0.11726931938959761,0.0028403237965245907,0.0028403237965245907,0.1850881633886177,0.1850881633886177,0.015343758286571477,0.015343758286571477,-0.12293929192122344,-0.12117122547566894,0.09,0.088,0,60,italic(N) == 60,\beta_{xm} == 0,rho == 0.7
